🕘️更新时间,#genre#
2026-04-16 07:27:56,https://iptv.catvod.com/live.php?id=CCTV1&line=6

📺央视频道,#genre#
CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=6
CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=16
CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=14
CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=4
CCTV1,http://124.116.183.146:9901/tsfile/live/0001_1.m3u8
CCTV1,http://112.27.235.94:8000/hls/1/index.m3u8
CCTV1,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://120.211.62.180:8000/hls/1/index.m3u8
CCTV1,http://112.46.85.60:8009/hls/501/index.m3u8
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8
CCTV2,https://iptv.catvod.com/live.php?id=CCTV2&line=3
CCTV2,https://iptv.catvod.com/live.php?id=CCTV2&line=5
CCTV2,https://iptv.catvod.com/live.php?id=CCTV2&line=8
CCTV2,https://iptv.catvod.com/live.php?id=CCTV2&line=4
CCTV2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009
CCTV2,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8
CCTV2,http://112.27.235.94:8000/hls/2/index.m3u8
CCTV2,http://123.129.70.178:9901/tsfile/live/0002_1.m3u8
CCTV2,http://123.129.70.178:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://112.46.85.60:8009/hls/502/index.m3u8
CCTV3,https://iptv.catvod.com/live.php?id=CCTV3&line=6
CCTV3,https://iptv.catvod.com/live.php?id=CCTV3&line=5
CCTV3,https://iptv.catvod.com/live.php?id=CCTV3&line=4
CCTV3,https://iptv.catvod.com/live.php?id=CCTV3&line=3
CCTV3,https://iptv.catvod.com/live.php?id=CCTV3&line=7
CCTV3,http://222.169.85.8:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://124.116.183.146:9901/tsfile/live/0003_1.m3u8
CCTV3,http://112.27.235.94:8000/hls/3/index.m3u8
CCTV3,http://112.46.85.60:8009/hls/3/index.m3u8
CCTV3,http://182.150.23.74:808/hls/3/index.m3u8
CCTV4,https://iptv.catvod.com/live.php?id=CCTV4&line=3
CCTV4,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009
CCTV4,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub
CCTV4,https://iptv.catvod.com/live.php?id=CCTV4&line=6
CCTV4,http://home.yulei.online:9999/rtp/226.0.2.156:9160
CCTV4,http://112.27.235.94:8000/hls/4/index.m3u8
CCTV4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV4,http://123.129.70.178:9901/tsfile/live/0004_1.m3u8
CCTV4,http://123.129.70.178:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://124.116.183.146:9901/tsfile/live/0004_1.m3u8
CCTV5,https://iptv.catvod.com/live.php?id=CCTV5&line=8
CCTV5,https://iptv.catvod.com/live.php?id=CCTV5&line=1
CCTV5,https://iptv.catvod.com/live.php?id=CCTV5&line=6
CCTV5,https://iptv.catvod.com/live.php?id=CCTV5&line=10
CCTV5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
CCTV5,http://124.116.183.146:9901/tsfile/live/0005_1.m3u8
CCTV5,http://112.27.235.94:8000/hls/5/index.m3u8
CCTV5,http://182.150.23.74:808/hls/5/index.m3u8
CCTV5,http://112.46.85.60:8009/hls/503/index.m3u8
CCTV5,http://183.11.239.36:808/hls/93/index.m3u8
CCTV5+,http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009
CCTV5+,http://107.150.60.122/live/cctv5p.m3u8
CCTV5+,http://74.91.26.218:82/live/cctv5p.m3u8
CCTV5+,http://222.169.85.8:9901/tsfile/live/0116_1.m3u8
CCTV5+,http://123.129.70.178:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://112.27.235.94:8000/hls/6/index.m3u8
CCTV5+,http://123.129.70.178:9901/tsfile/live/0016_1.m3u8
CCTV5+,http://120.238.94.82:9901/tsfile/live/1030_1.m3u8
CCTV5+,http://182.150.23.74:808/hls/16/index.m3u8
CCTV5+,http://120.211.62.180:8000/hls/18/index.m3u8
CCTV6,https://iptv.catvod.com/live.php?id=CCTV6&line=9
CCTV6,https://iptv.catvod.com/live.php?id=CCTV6&line=13
CCTV6,https://iptv.catvod.com/live.php?id=CCTV6&line=5
CCTV6,https://iptv.catvod.com/live.php?id=CCTV6&line=11
CCTV6,https://iptv.catvod.com/live.php?id=CCTV6&line=7
CCTV6,http://112.27.235.94:8000/hls/7/index.m3u8
CCTV6,http://222.169.85.8:9901/tsfile/live/0006_1.m3u8
CCTV6,http://124.116.183.146:9901/tsfile/live/0006_1.m3u8
CCTV6,http://182.150.23.74:808/hls/6/index.m3u8
CCTV6,http://183.11.239.36:808/hls/94/index.m3u8
CCTV7,http://38.75.136.137:98/gslb/dsdqbv/cctv7hd.m3u8?auth=test20251009
CCTV7,https://iptv.catvod.com/live.php?id=CCTV7&line=7
CCTV7,https://iptv.catvod.com/live.php?id=CCTV7&line=3
CCTV7,https://iptv.catvod.com/live.php?id=CCTV7&line=2
CCTV7,https://iptv.catvod.com/live.php?id=CCTV7&line=9
CCTV7,http://123.129.70.178:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://124.116.183.146:9901/tsfile/live/0007_1.m3u8
CCTV7,http://123.129.70.178:9901/tsfile/live/0007_1.m3u8
CCTV7,http://112.27.235.94:8000/hls/8/index.m3u8
CCTV7,http://120.211.62.180:8000/hls/7/index.m3u8
CCTV8,https://iptv.catvod.com/live.php?id=CCTV8&line=11
CCTV8,https://iptv.catvod.com/live.php?id=CCTV8&line=10
CCTV8,https://iptv.catvod.com/live.php?id=CCTV8&line=4
CCTV8,https://iptv.catvod.com/live.php?id=CCTV8&line=15
CCTV8,https://iptv.catvod.com/live.php?id=CCTV8&line=14
CCTV8,http://112.27.235.94:8000/hls/9/index.m3u8
CCTV8,http://222.169.85.8:9901/tsfile/live/0008_1.m3u8
CCTV8,http://124.116.183.146:9901/tsfile/live/0008_1.m3u8
CCTV8,http://112.46.85.60:8009/hls/8/index.m3u8
CCTV8,http://182.150.23.74:808/hls/8/index.m3u8
CCTV9,https://iptv.catvod.com/live.php?id=CCTV9&line=3
CCTV9,https://iptv.catvod.com/live.php?id=CCTV9&line=5
CCTV9,https://iptv.catvod.com/live.php?id=CCTV9&line=4
CCTV9,http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV9,http://38.75.136.137:98/gslb/dsdqpub/cctv9hd.m3u8?auth=testpub
CCTV9,http://120.211.62.180:8000/hls/9/index.m3u8
CCTV9,http://222.169.85.8:9901/tsfile/live/0009_1.m3u8
CCTV9,http://112.27.235.94:8000/hls/10/index.m3u8
CCTV9,http://124.116.183.146:9901/tsfile/live/0009_1.m3u8
